class|todorhoilolt
interface|interface
extends|udamshil
implements|heregjuuleh
abstract|hiisver
static|static
final|uurchluhgui
void|hooson
null|null

public|neelttei
private|nuuts
protected|hamgaalalt
default|bagts
if|nuhstul
else|esvel
for|davtalt
while|davtalt
switch|songolt
break|taslah
continue|urgeljluuleh
return|butsaah
ArrayList|massive
LinkedList|jagsaalt

Stack|stack
Queue|queue
try|shalgah
catch|barih
finally|guitsetgeh
throw|shideh
Exception|aldaa
inheritance|udamshil
polymorphism|helber
abstraction|hiisverlel
length|urt
substring|heseg
split|huvaah
trim|zai
parseInt|too
